customer_id,name,email,phone,lifetime_value,total_payments_count,successful_payments_count,success_rate
cust_01039,Siddharth Rao,siddharth.rao50@example.com,+919819736572,286917.84,41,36,0.893
cust_01040,Ananya Nair,ananya.nair37@example.com,+919877898694,56563.04,9,8,0.965
cust_01041,Vikram Mehta,vikram.mehta30@example.com,+919868812137,102383.71,21,13,0.639
cust_01042,Rahul Sharma,rahul.sharma95@example.com,+919884437458,25700.29,13,11,0.903
cust_01043,Dev Reddy,dev.reddy80@example.com,+919830863865,129367.92,50,44,0.889
cust_01044,Rohan Nair,rohan.nair72@example.com,+919843704923,0.0,2,0,0.338
cust_01045,Rohan Sharma,rohan.sharma10@example.com,+919854769200,9265.08,10,6,0.617
cust_01046,Amit Nair,amit.nair64@example.com,+919885283645,268629.25,49,37,0.767
cust_01047,Suresh Sharma,suresh.sharma57@example.com,+919888183110,13367.95,7,5,0.849
cust_01048,Aditi Kapoor,aditi.kapoor55@example.com,+919838195995,50455.2,13,8,0.627
cust_01049,Zoya Joshi,zoya.joshi29@example.com,+919841774346,35434.5,7,5,0.732
cust_01050,Aarav Gupta,aarav.gupta52@example.com,+919865259205,14126.4,9,6,0.694
cust_01051,Dev Kumar,dev.kumar14@example.com,+919873174945,92763.47,34,31,0.938
cust_01052,Neha Patel,neha.patel13@example.com,+919898588154,54215.35,9,7,0.826
cust_01053,Rohan Singh,rohan.singh92@example.com,+919878371272,108294.3,39,38,0.976
cust_01054,Aarav Verma,aarav.verma43@example.com,+919833966966,6808.2,7,6,0.976
cust_01055,Zoya Singh,zoya.singh50@example.com,+919868571795,57809.52,14,8,0.574
cust_01056,Meera Mehta,meera.mehta15@example.com,+919868526649,206785.6,39,37,0.963
cust_01057,Meera Singh,meera.singh65@example.com,+919819391725,8151.45,10,3,0.363
cust_01058,Dev Reddy,dev.reddy48@example.com,+919878064830,141712.5,30,25,0.844
cust_01059,Suresh Gupta,suresh.gupta34@example.com,+919866431351,94270.8,25,13,0.529
cust_01060,Rajesh Joshi,rajesh.joshi48@example.com,+919864502486,32612.97,23,17,0.75
cust_01061,Kavita Joshi,kavita.joshi93@example.com,+919853251559,63540.6,18,15,0.852
cust_01062,Kabir Chopra,kabir.chopra20@example.com,+919848089166,23438.84,26,23,0.896
cust_01063,Neha Chopra,neha.chopra49@example.com,+919840150759,2185.29,3,1,0.45
cust_01064,Priya Joshi,priya.joshi19@example.com,+919871124923,87468.9,17,15,0.895
cust_01065,Yash Rao,yash.rao61@example.com,+919842747037,56644.56,11,9,0.908
cust_01066,Neha Gupta,neha.gupta99@example.com,+919879519112,38147.6,12,10,0.878
cust_01067,Amit Chopra,amit.chopra77@example.com,+919885017682,155540.02,33,31,0.969
cust_01068,Rahul Kumar,rahul.kumar80@example.com,+919869849511,41420.94,17,11,0.653
cust_01069,Neha Deshmukh,neha.deshmukh91@example.com,+919847220099,25706.28,22,12,0.577
cust_01070,Amit Verma,amit.verma46@example.com,+919841473195,29454.4,39,32,0.824
cust_01071,Isha Patel,isha.patel59@example.com,+919830509175,17086.74,15,6,0.422
cust_01072,Amit Kumar,amit.kumar17@example.com,+919837760841,75846.8,20,10,0.532
cust_01073,Aarav Deshmukh,aarav.deshmukh83@example.com,+919861053877,140340.48,24,23,0.967
cust_01074,Zoya Nair,zoya.nair79@example.com,+919890967191,18279.7,10,5,0.566
cust_01075,Aarav Kumar,aarav.kumar53@example.com,+919899774697,20315.67,7,3,0.537
cust_01076,Isha Joshi,isha.joshi78@example.com,+919813619375,0.0,1,0,0.251
cust_01077,Zoya Gupta,zoya.gupta69@example.com,+919834391257,57017.7,18,15,0.837
cust_01078,Tanvi Bhat,tanvi.bhat58@example.com,+919847346970,40372.86,10,6,0.683
cust_01079,Priya Sharma,priya.sharma79@example.com,+919816990811,0.0,2,0,0.169
cust_01080,Aditi Bhat,aditi.bhat13@example.com,+919843189803,21368.0,14,10,0.755
cust_01081,Priya Chopra,priya.chopra24@example.com,+919885694715,6205.12,5,1,0.208
cust_01082,Kabir Joshi,kabir.joshi87@example.com,+919825372341,5661.8,11,5,0.456
cust_01083,Aarav Kapoor,aarav.kapoor49@example.com,+919887282128,75493.2,14,10,0.726
cust_01084,Meera Verma,meera.verma85@example.com,+919894187049,143792.46,24,21,0.91
cust_01085,Rajesh Bhat,rajesh.bhat25@example.com,+919885958181,37755.97,15,7,0.518
cust_01086,Ananya Nair,ananya.nair92@example.com,+919855799273,33379.5,36,30,0.847
cust_01087,Vikram Chopra,vikram.chopra68@example.com,+919830534124,99944.46,46,42,0.919
cust_01088,Suresh Bhat,suresh.bhat71@example.com,+919872394301,55635.0,22,20,0.918
cust_01089,Neha Deshmukh,neha.deshmukh21@example.com,+919847437115,32814.88,16,7,0.483
cust_01090,Yash Singh,yash.singh13@example.com,+919876344695,9096.45,8,3,0.462
cust_01091,Rohan Singh,rohan.singh45@example.com,+919890014570,0.0,2,0,0.494
cust_01092,Meera Verma,meera.verma40@example.com,+919864549859,178466.4,49,45,0.924
cust_01093,Priya Rao,priya.rao12@example.com,+919822489409,42524.64,20,16,0.843
cust_01094,Kavita Singh,kavita.singh70@example.com,+919884285882,93953.97,40,33,0.848
cust_01095,Amit Mehta,amit.mehta49@example.com,+919843742830,26852.54,25,22,0.916
cust_01096,Suresh Bhat,suresh.bhat98@example.com,+919834850391,117586.0,22,20,0.92
cust_01097,Rahul Joshi,rahul.joshi46@example.com,+919823492385,10090.2,13,6,0.501
cust_01098,Aarav Reddy,aarav.reddy78@example.com,+919826989677,96879.1,40,38,0.974
cust_01099,Isha Chopra,isha.chopra72@example.com,+919823769080,39861.0,17,10,0.595
cust_01100,Tanvi Gupta,tanvi.gupta16@example.com,+919843887075,0.0,2,0,0.212
cust_01101,Ananya Joshi,ananya.joshi90@example.com,+919817195288,21029.58,24,22,0.937
cust_01102,Neha Verma,neha.verma81@example.com,+919865857931,37637.04,9,6,0.669
cust_01103,Yash Rao,yash.rao66@example.com,+919849910061,37427.6,11,8,0.737
cust_01104,Aditi Joshi,aditi.joshi22@example.com,+919837888820,1509.34,4,1,0.49
cust_01105,Kabir Nair,kabir.nair19@example.com,+919831009452,141059.88,43,36,0.854
cust_01106,Aditi Patel,aditi.patel46@example.com,+919847945817,25168.32,23,12,0.554
cust_01107,Rohan Bhat,rohan.bhat90@example.com,+919889160218,11837.8,15,10,0.717
cust_01108,Neha Chopra,neha.chopra29@example.com,+919845652586,12806.48,7,2,0.424
cust_01109,Rajesh Reddy,rajesh.reddy82@example.com,+919848736657,113759.0,24,20,0.858
cust_01110,Rohan Nair,rohan.nair79@example.com,+919876276072,166765.48,32,28,0.888
cust_01111,Rajesh Mehta,rajesh.mehta13@example.com,+919822257687,178371.45,41,37,0.905
cust_01112,Aarav Bhat,aarav.bhat96@example.com,+919846173157,54920.04,16,14,0.926
cust_01113,Amit Kapoor,amit.kapoor45@example.com,+919834359060,7761.73,8,1,0.198
cust_01114,Priya Singh,priya.singh62@example.com,+919854735895,31234.39,15,11,0.774
cust_01115,Priya Mehta,priya.mehta94@example.com,+919863747791,8802.54,16,9,0.587
cust_01116,Rohan Singh,rohan.singh24@example.com,+919864247457,5363.98,2,1,0.68
cust_01117,Suresh Rao,suresh.rao62@example.com,+919817275149,148353.85,36,29,0.833
cust_01118,Aditi Patel,aditi.patel44@example.com,+919883715012,157258.92,49,39,0.816
cust_01119,Aarav Chopra,aarav.chopra87@example.com,+919842117961,4552.34,2,1,0.506
cust_01120,Ananya Patel,ananya.patel24@example.com,+919871934487,0.0,3,0,0.27
cust_01121,Siddharth Nair,siddharth.nair44@example.com,+919865766169,22903.56,9,6,0.733
cust_01122,Isha Kumar,isha.kumar34@example.com,+919890447099,19416.88,9,8,0.952
cust_01123,Zoya Singh,zoya.singh74@example.com,+919845859307,33742.8,11,5,0.496
cust_01124,Kavita Chopra,kavita.chopra72@example.com,+919829944139,100094.72,26,22,0.861
cust_01125,Suresh Kumar,suresh.kumar68@example.com,+919853188224,28217.04,9,6,0.733
cust_01126,Neha Deshmukh,neha.deshmukh62@example.com,+919815858241,78547.44,29,24,0.859
cust_01127,Isha Rao,isha.rao14@example.com,+919826944487,63281.43,11,9,0.886
cust_01128,Amit Verma,amit.verma77@example.com,+919871327848,279672.12,46,36,0.783
cust_01129,Ananya Rao,ananya.rao43@example.com,+919855440919,13717.18,4,2,0.535
cust_01130,Suresh Kumar,suresh.kumar50@example.com,+919894127561,6917.04,19,12,0.658
cust_01131,Ananya Patel,ananya.patel90@example.com,+919848571356,15666.4,7,2,0.304
cust_01132,Dev Rao,dev.rao31@example.com,+919850193656,0.0,1,0,0.066
cust_01133,Vikram Kumar,vikram.kumar28@example.com,+919842775624,22524.18,16,14,0.88
cust_01134,Ananya Joshi,ananya.joshi58@example.com,+919893176117,15422.11,20,11,0.569
cust_01135,Amit Chopra,amit.chopra42@example.com,+919871682508,180982.75,34,25,0.752
cust_01136,Suresh Gupta,suresh.gupta19@example.com,+919869287967,5219.83,5,1,0.386
cust_01137,Zoya Reddy,zoya.reddy42@example.com,+919871315464,41224.08,14,6,0.468
cust_01138,Dev Patel,dev.patel58@example.com,+919886762164,102931.2,49,40,0.818
cust_01139,Yash Mehta,yash.mehta11@example.com,+919885957706,7311.75,3,1,0.665
cust_01140,Priya Deshmukh,priya.deshmukh46@example.com,+919840885967,19404.22,22,11,0.52
cust_01141,Rohan Chopra,rohan.chopra94@example.com,+919828358198,9053.25,22,15,0.707
cust_01142,Amit Sharma,amit.sharma84@example.com,+919858970845,11262.96,11,4,0.431
cust_01143,Zoya Gupta,zoya.gupta35@example.com,+919827738187,39488.04,13,9,0.698
cust_01144,Rohan Deshmukh,rohan.deshmukh31@example.com,+919844489940,6048.51,5,1,0.371
cust_01145,Tanvi Bhat,tanvi.bhat24@example.com,+919872858374,0.0,4,0,0.098
cust_01146,Yash Deshmukh,yash.deshmukh81@example.com,+919859093496,75337.37,21,17,0.841
cust_01147,Amit Singh,amit.singh96@example.com,+919845186708,29490.76,28,26,0.939
cust_01148,Neha Rao,neha.rao13@example.com,+919893154172,24054.36,21,12,0.591
cust_01149,Ananya Chopra,ananya.chopra69@example.com,+919850559278,7586.21,3,1,0.44
cust_01150,Siddharth Rao,siddharth.rao24@example.com,+919823044889,94826.5,29,25,0.874
cust_01151,Suresh Kumar,suresh.kumar85@example.com,+919830739712,50405.2,17,10,0.623
cust_01152,Rohan Sharma,rohan.sharma98@example.com,+919859731689,117078.49,20,17,0.852
cust_01153,Dev Chopra,dev.chopra57@example.com,+919883076970,0.0,1,0,0.269
cust_01154,Meera Verma,meera.verma68@example.com,+919822304198,93329.04,21,12,0.618
cust_01155,Aditi Bhat,aditi.bhat52@example.com,+919842691263,828.3,4,1,0.318
cust_01156,Suresh Patel,suresh.patel85@example.com,+919838984499,12745.12,6,2,0.479
cust_01157,Rajesh Sharma,rajesh.sharma45@example.com,+919829419691,0.0,3,0,0.234
cust_01158,Aarav Gupta,aarav.gupta11@example.com,+919858082464,2107.55,12,5,0.481
cust_01159,Rohan Sharma,rohan.sharma26@example.com,+919866500369,120055.04,35,32,0.922
cust_01160,Vikram Nair,vikram.nair85@example.com,+919824636981,22186.85,44,35,0.801
cust_01161,Rahul Mehta,rahul.mehta68@example.com,+919896347724,0.0,8,0,0.071
cust_01162,Zoya Chopra,zoya.chopra23@example.com,+919875802771,5560.52,4,2,0.551
cust_01163,Isha Verma,isha.verma26@example.com,+919846912022,39255.02,24,14,0.599
cust_01164,Rajesh Nair,rajesh.nair47@example.com,+919870896652,48420.59,49,41,0.849
cust_01165,Suresh Reddy,suresh.reddy37@example.com,+919867723010,133422.6,26,20,0.803
cust_01166,Yash Kumar,yash.kumar22@example.com,+919851949529,191066.5,28,25,0.903
cust_01167,Priya Verma,priya.verma21@example.com,+919821457410,137563.02,28,21,0.772
cust_01168,Suresh Sharma,suresh.sharma85@example.com,+919885374852,84635.88,31,28,0.904
cust_01169,Zoya Deshmukh,zoya.deshmukh16@example.com,+919848604965,42070.8,20,10,0.52
cust_01170,Isha Chopra,isha.chopra71@example.com,+919840097636,28171.98,19,9,0.519
cust_01171,Rohan Joshi,rohan.joshi38@example.com,+919867594492,75367.65,21,15,0.731
cust_01172,Suresh Sharma,suresh.sharma87@example.com,+919898292612,7212.54,7,3,0.491
cust_01173,Siddharth Kapoor,siddharth.kapoor53@example.com,+919857113566,203738.9,41,38,0.95
cust_01174,Ananya Gupta,ananya.gupta91@example.com,+919814114726,88317.75,29,25,0.872
cust_01175,Tanvi Gupta,tanvi.gupta57@example.com,+919851827259,63581.96,20,13,0.664
cust_01176,Aditi Gupta,aditi.gupta30@example.com,+919892924837,134923.25,33,25,0.769
cust_01177,Priya Joshi,priya.joshi66@example.com,+919865590800,32536.13,12,11,0.924
cust_01178,Dev Mehta,dev.mehta96@example.com,+919889609131,11987.94,7,6,0.903
cust_01179,Rajesh Sharma,rajesh.sharma10@example.com,+919837437207,61840.4,13,10,0.799
cust_01180,Siddharth Singh,siddharth.singh25@example.com,+919811037490,35503.6,13,11,0.849
cust_01181,Neha Nair,neha.nair81@example.com,+919899663907,6257.3,25,10,0.425
cust_01182,Aarav Rao,aarav.rao19@example.com,+919852018286,230079.96,50,44,0.882
cust_01183,Siddharth Verma,siddharth.verma61@example.com,+919812799319,3842.75,10,1,0.108
cust_01184,Vikram Verma,vikram.verma65@example.com,+919824208709,29884.14,38,33,0.885
cust_01185,Siddharth Reddy,siddharth.reddy53@example.com,+919839738898,150099.07,37,29,0.789
cust_01186,Rahul Nair,rahul.nair34@example.com,+919856892354,289334.32,46,44,0.97
cust_01187,Neha Verma,neha.verma28@example.com,+919844355473,35208.8,46,40,0.889
cust_01188,Priya Rao,priya.rao82@example.com,+919887774890,204790.56,41,39,0.963
cust_01189,Rajesh Singh,rajesh.singh90@example.com,+919852431444,129041.75,33,25,0.766
cust_01190,Rohan Joshi,rohan.joshi17@example.com,+919857236885,15918.66,33,27,0.821
cust_01191,Vikram Deshmukh,vikram.deshmukh46@example.com,+919820298660,10071.12,4,2,0.732
cust_01192,Rahul Kumar,rahul.kumar69@example.com,+919887890494,22577.7,7,6,0.932
cust_01193,Kavita Chopra,kavita.chopra34@example.com,+919853154591,3769.03,3,1,0.57
cust_01194,Tanvi Reddy,tanvi.reddy20@example.com,+919877719420,33036.66,24,9,0.413
cust_01195,Amit Nair,amit.nair76@example.com,+919891846696,62379.09,23,19,0.836
cust_01196,Tanvi Chopra,tanvi.chopra86@example.com,+919817028380,5677.24,4,2,0.62
cust_01197,Suresh Chopra,suresh.chopra59@example.com,+919848137561,280970.0,43,40,0.946
cust_01198,Tanvi Verma,tanvi.verma84@example.com,+919899068509,215775.4,46,38,0.83
cust_01199,Yash Gupta,yash.gupta86@example.com,+919821370793,137791.92,26,21,0.837
cust_01200,Rahul Verma,rahul.verma92@example.com,+919899987086,61600.21,28,23,0.833
cust_01201,Meera Singh,meera.singh72@example.com,+919835770506,18043.2,9,7,0.782
cust_01202,Dev Nair,dev.nair79@example.com,+919880669879,47126.88,44,36,0.827
cust_01203,Yash Gupta,yash.gupta30@example.com,+919834272734,23412.44,7,4,0.662
cust_01204,Aditi Kumar,aditi.kumar56@example.com,+919841880763,4203.64,8,2,0.258
cust_01205,Neha Mehta,neha.mehta70@example.com,+919836040410,119503.14,33,31,0.968
cust_01206,Siddharth Bhat,siddharth.bhat58@example.com,+919877498993,103515.2,17,16,0.972
cust_01207,Isha Deshmukh,isha.deshmukh42@example.com,+919817003454,97422.78,19,13,0.697
cust_01208,Rahul Deshmukh,rahul.deshmukh25@example.com,+919848260510,181771.5,33,25,0.787
cust_01209,Isha Deshmukh,isha.deshmukh65@example.com,+919822309586,7111.65,8,1,0.125
cust_01210,Aarav Kumar,aarav.kumar16@example.com,+919863211150,25494.64,10,8,0.804
cust_01211,Aarav Singh,aarav.singh22@example.com,+919897236246,12544.85,7,5,0.784
cust_01212,Priya Reddy,priya.reddy27@example.com,+919872962895,3124.31,10,7,0.751
cust_01213,Meera Deshmukh,meera.deshmukh29@example.com,+919883659258,1156.14,7,1,0.257
cust_01214,Siddharth Patel,siddharth.patel48@example.com,+919826354208,141331.49,44,37,0.847
cust_01215,Dev Deshmukh,dev.deshmukh73@example.com,+919890092958,77865.12,41,36,0.895
cust_01216,Isha Mehta,isha.mehta64@example.com,+919810209961,12196.24,15,7,0.482
cust_01217,Ananya Nair,ananya.nair56@example.com,+919819083764,9133.94,9,2,0.235
cust_01218,Yash Deshmukh,yash.deshmukh70@example.com,+919815843091,42380.38,10,7,0.734
cust_01219,Vikram Bhat,vikram.bhat18@example.com,+919856278607,56165.04,11,9,0.901
cust_01220,Tanvi Gupta,tanvi.gupta15@example.com,+919857284777,93715.3,16,14,0.937
cust_01221,Amit Reddy,amit.reddy71@example.com,+919894790150,244790.13,50,39,0.781
cust_01222,Amit Sharma,amit.sharma47@example.com,+919837057085,13650.45,7,5,0.796
cust_01223,Siddharth Nair,siddharth.nair60@example.com,+919882884346,60231.0,46,34,0.758
cust_01224,Vikram Deshmukh,vikram.deshmukh16@example.com,+919898010774,76955.13,28,21,0.779
cust_01225,Yash Reddy,yash.reddy66@example.com,+919861894582,156975.34,49,38,0.793
cust_01226,Rahul Mehta,rahul.mehta20@example.com,+919866975380,63002.1,16,14,0.889
cust_01227,Tanvi Verma,tanvi.verma20@example.com,+919854012664,58260.0,21,10,0.504
cust_01228,Kabir Reddy,kabir.reddy66@example.com,+919857183837,120824.64,27,24,0.917
cust_01229,Zoya Mehta,zoya.mehta91@example.com,+919817698469,106269.0,28,25,0.897
cust_01230,Kabir Sharma,kabir.sharma28@example.com,+919891547054,2453.1,6,3,0.549
cust_01231,Vikram Singh,vikram.singh59@example.com,+919886134287,190148.5,33,25,0.785
cust_01232,Vikram Rao,vikram.rao19@example.com,+919887030477,106032.4,25,20,0.834
cust_01233,Neha Verma,neha.verma13@example.com,+919834970946,39823.08,40,33,0.839
cust_01234,Rohan Reddy,rohan.reddy67@example.com,+919838799154,1841.37,8,1,0.147
cust_01235,Isha Deshmukh,isha.deshmukh19@example.com,+919870672142,58868.55,10,9,0.914
cust_01236,Tanvi Chopra,tanvi.chopra54@example.com,+919818715975,130254.31,24,19,0.817
cust_01237,Kabir Bhat,kabir.bhat56@example.com,+919878284040,25474.44,13,12,0.977
cust_01238,Priya Sharma,priya.sharma56@example.com,+919884359498,44174.16,40,34,0.858
cust_01239,Ananya Verma,ananya.verma49@example.com,+919863440127,6926.24,9,2,0.294
cust_01240,Zoya Deshmukh,zoya.deshmukh83@example.com,+919819898653,26353.6,9,7,0.823
cust_01241,Rahul Singh,rahul.singh26@example.com,+919883994695,7262.32,6,2,0.462
cust_01242,Aditi Deshmukh,aditi.deshmukh25@example.com,+919879538491,142452.12,25,19,0.788
cust_01243,Neha Singh,neha.singh76@example.com,+919848124318,76639.1,22,10,0.485
cust_01244,Rohan Gupta,rohan.gupta90@example.com,+919850644430,14386.5,22,9,0.432
cust_01245,Kavita Gupta,kavita.gupta31@example.com,+919898413629,54299.84,12,8,0.707
cust_01246,Kavita Sharma,kavita.sharma13@example.com,+919820901547,84162.6,41,36,0.898
cust_01247,Meera Bhat,meera.bhat83@example.com,+919865913331,40508.55,22,9,0.41
cust_01248,Siddharth Rao,siddharth.rao41@example.com,+919864504816,9103.32,8,6,0.767
cust_01249,Zoya Rao,zoya.rao69@example.com,+919837383505,107590.86,50,39,0.783
cust_01250,Vikram Kumar,vikram.kumar26@example.com,+919859733063,58377.6,20,15,0.774
cust_01251,Rohan Rao,rohan.rao41@example.com,+919828908276,159943.38,29,23,0.817
cust_01252,Zoya Patel,zoya.patel30@example.com,+919853947691,6176.03,4,1,0.295
cust_01253,Priya Nair,priya.nair69@example.com,+919876942394,15156.58,4,2,0.569
cust_01254,Rahul Rao,rahul.rao40@example.com,+919838876195,69881.73,23,17,0.761
cust_01255,Priya Mehta,priya.mehta78@example.com,+919811097552,29509.05,10,5,0.547
cust_01256,Yash Singh,yash.singh15@example.com,+919863765155,109435.68,28,24,0.879
cust_01257,Ananya Kumar,ananya.kumar74@example.com,+919870445541,55390.7,21,10,0.495
cust_01258,Dev Gupta,dev.gupta22@example.com,+919862868861,293666.1,40,39,0.977
cust_01259,Isha Patel,isha.patel87@example.com,+919878333267,6775.9,7,5,0.759
cust_01260,Tanvi Bhat,tanvi.bhat70@example.com,+919879703656,44041.92,37,32,0.889
cust_01261,Rajesh Singh,rajesh.singh30@example.com,+919862741471,4871.68,5,1,0.301
cust_01262,Rahul Deshmukh,rahul.deshmukh75@example.com,+919881449442,197438.1,35,30,0.879
cust_01263,Vikram Singh,vikram.singh96@example.com,+919824710878,0.0,1,0,0.248
cust_01264,Rohan Chopra,rohan.chopra84@example.com,+919887528776,41936.44,35,26,0.762
cust_01265,Rajesh Bhat,rajesh.bhat58@example.com,+919829834119,68410.62,20,9,0.482
cust_01266,Dev Patel,dev.patel12@example.com,+919869195194,71058.86,49,38,0.785
cust_01267,Rahul Bhat,rahul.bhat88@example.com,+919873297813,5734.47,3,1,0.65
cust_01268,Rahul Patel,rahul.patel81@example.com,+919853627409,2715.9,7,1,0.213
cust_01269,Kabir Rao,kabir.rao78@example.com,+919855946354,225899.64,48,43,0.905
cust_01270,Rohan Joshi,rohan.joshi71@example.com,+919835805259,0.0,5,0,0.145
cust_01271,Siddharth Bhat,siddharth.bhat46@example.com,+919837820354,26872.02,17,9,0.566
cust_01272,Rohan Mehta,rohan.mehta25@example.com,+919886970753,46210.57,14,7,0.529
cust_01273,Isha Mehta,isha.mehta15@example.com,+919848605090,0.0,8,0,0.077
cust_01274,Priya Patel,priya.patel35@example.com,+919882286705,25783.0,22,19,0.879
cust_01275,Rajesh Reddy,rajesh.reddy85@example.com,+919842115895,69280.78,38,34,0.904
cust_01276,Neha Sharma,neha.sharma22@example.com,+919865472370,255630.9,48,41,0.859
cust_01277,Aarav Nair,aarav.nair30@example.com,+919864614193,43739.85,17,11,0.699
cust_01278,Meera Bhat,meera.bhat46@example.com,+919853106399,37258.9,10,7,0.764
cust_01279,Neha Nair,neha.nair14@example.com,+919833496796,47869.32,7,6,0.943
cust_01280,Yash Bhat,yash.bhat73@example.com,+919835006323,7050.92,5,1,0.377
cust_01281,Aarav Mehta,aarav.mehta82@example.com,+919890904160,83566.78,23,22,0.976
cust_01282,Suresh Nair,suresh.nair73@example.com,+919828012011,26111.48,8,4,0.559
cust_01283,Tanvi Gupta,tanvi.gupta68@example.com,+919897011385,127778.2,26,20,0.793
cust_01284,Kavita Chopra,kavita.chopra34@example.com,+919833554528,53342.56,14,8,0.617
cust_01285,Rahul Singh,rahul.singh21@example.com,+919863798927,7952.8,6,2,0.463
cust_01286,Neha Sharma,neha.sharma43@example.com,+919861482483,60374.54,26,23,0.923
cust_01287,Kavita Sharma,kavita.sharma43@example.com,+919897735896,44782.21,47,37,0.804
cust_01288,Siddharth Gupta,siddharth.gupta61@example.com,+919877447155,5615.24,5,1,0.352
cust_01289,Siddharth Singh,siddharth.singh88@example.com,+919839641883,38033.4,14,10,0.781
cust_01290,Rajesh Singh,rajesh.singh63@example.com,+919883717007,6166.32,4,1,0.307
cust_01291,Rajesh Deshmukh,rajesh.deshmukh20@example.com,+919880532309,58902.24,9,8,0.912
cust_01292,Dev Sharma,dev.sharma80@example.com,+919877845324,36744.63,15,13,0.873
cust_01293,Rahul Rao,rahul.rao24@example.com,+919837568520,37302.2,18,10,0.566
cust_01294,Aditi Rao,aditi.rao26@example.com,+919878886959,135110.85,40,35,0.88
cust_01295,Siddharth Reddy,siddharth.reddy12@example.com,+919863143336,61789.0,18,13,0.751
cust_01296,Aditi Kumar,aditi.kumar54@example.com,+919818557710,47359.56,9,6,0.764
cust_01297,Priya Sharma,priya.sharma46@example.com,+919864877191,274160.95,46,35,0.781
cust_01298,Zoya Singh,zoya.singh58@example.com,+919870201634,8261.28,14,9,0.708
cust_01299,Suresh Gupta,suresh.gupta93@example.com,+919856676884,126790.61,30,29,0.978
cust_01300,Neha Deshmukh,neha.deshmukh10@example.com,+919813051483,3565.79,9,1,0.207
cust_01301,Yash Deshmukh,yash.deshmukh39@example.com,+919843220503,97734.78,17,13,0.786
